fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	num_threads	seed	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240507 213204	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3475	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.141900013464198	0.325946176740223	0.176268312110259	0.0101178720434045	0.614677871710154	639	1999	10237	61214997.0014993	69
20240507 213900	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2251	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.291375350293539	0.340282486459846	0.798814798647753	0.0101160642026679	0.573442703822498	525	1953	10661	61709833.5832084	70
20240507 214715	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3472	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.291066195769425	0.34010136511026	0.729239055777591	0.0101361239995965	0.59917439601153	554	1996	10569	61401425.7871064	71
20240507 215702	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3100	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.301172061519214	0.297188151877998	0.660888112607066	0.0100999547789193	0.556532294949641	414	1998	11162	61219667.1664168	72
20240507 220616	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4016	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.288808257258478	0.336748044490614	0.487402215127734	0.010990918798681	0.600396657812375	666	1929	13448	59828173.9130435	73
20240507 221342	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3150	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.208195888823432	0.588999835815823	0.343176010797351	0.0102043890351838	0.602480984478154	245	2000	11032	61020761.6191904	74
20240507 221936	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2348	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.100223051132922	0.305858991399696	0.772419949664372	0.0105086086374574	0.65044682273248	524	1999	11191	61708559.2203898	75
20240507 222611	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2348	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.100223051132922	0.305858991399696	0.772419949664372	0.0105086086374574	0.65044682273248	524	1999	11191	61708559.2203898	76
20240507 223214	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2378	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.100849948189604	0.506904044865093	0.815390920155245	0.0112148036812311	0.604440509858027	487	1886	10646	61330245.8770615	77
20240507 224057	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3881	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.100594282090716	0.303797465092509	0.757969057003428	0.0104095160709014	0.648853367432201	521	1999	12138	60322611.6941529	78
