fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	learning_rate	seed	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240512 111003	1068	271298	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5	1	1	1	FALSE	1	0.1	50	0.5	FALSE	1	101197	0.479315984552059	42	4878	11003	54914838.0809595	158
20240512 111153	1068	271298	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3	1	1	1	FALSE	1	0.1	50	0.5	FALSE	1	101197	0.479487541707741	47	4939	13555	48577818.5907046	159
20240512 111336	1068	271298	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	13	1	1	1	FALSE	1	0.1	50	0.5	FALSE	1	101197	0.40001153905446	40	4890	11338	57340842.5787106	160
20240512 111519	1068	271298	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	13	1	1	1	FALSE	1	0.1	50	0.5	FALSE	1	101197	0.40001153905446	40	4890	11338	57340842.5787106	161
20240512 111702	1068	271298	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	13	1	1	1	FALSE	1	0.1	50	0.5	FALSE	1	101197	0.400001762068251	40	4889	11338	57340842.5787106	162
20240512 111848	1068	271298	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	13	1	1	1	FALSE	1	0.1	50	0.5	FALSE	1	101197	0.400001762068251	40	4889	11338	57340842.5787106	163
20240512 112031	1068	271298	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	13	1	1	1	FALSE	1	0.1	50	0.5	FALSE	1	101197	0.400001762068251	40	4889	11338	57340842.5787106	164
20240512 112214	1068	271298	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	13	1	1	1	FALSE	1	0.1	50	0.5	FALSE	1	101197	0.400001762068251	40	4889	11338	57340842.5787106	165
20240512 112357	1068	271298	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	13	1	1	1	FALSE	1	0.1	50	0.5	FALSE	1	101197	0.400015153761356	40	4889	11338	57340842.5787106	166
20240512 112540	1068	271298	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	13	1	1	1	FALSE	1	0.1	50	0.5	FALSE	1	101197	0.400009981840785	40	4888	13152	55668917.5412294	167
